semester,institute_id,university_short,institute_name,university_course,nxtwave_tag,course_id,credits
Semester 2,09105c4a-966d-4f8f-bda5-337d233029ef,CRESCENT,Crescent University,Database Management Systems,Database Management Systems,25c1a72c-216e-47e1-9bc6-b2f16c66e0ca,4.0
Semester 2,09105c4a-966d-4f8f-bda5-337d233029ef,CRESCENT,Crescent University,Problem-Solving Techniques with C++,Data Structures,e216af3e-bcd0-4dee-9c4f-67e7502ecba3,4.0
Semester 2,09105c4a-966d-4f8f-bda5-337d233029ef,CRESCENT,Crescent University,Advanced Communicative English,Communicative English Advanced,b21fe64c-21dc-4d6b-bd20-eceb953dd154,2.0
Semester 2,09105c4a-966d-4f8f-bda5-337d233029ef,CRESCENT,Crescent University,Foundations of Generative AI,Introduction to Generative AI,a8f81e0c-22c3-41e6-b98a-ce7552d8e2c7,3.0
Semester 2,09105c4a-966d-4f8f-bda5-337d233029ef,CRESCENT,Crescent University,Numerical Ability,Numerical Ability,0bbea1fb-25bc-402d-b0d4-72112198d5da,0.0
Semester 2,09105c4a-966d-4f8f-bda5-337d233029ef,CRESCENT,Crescent University,Universal Human Values,Complaince,,0.0
Semester 2,09105c4a-966d-4f8f-bda5-337d233029ef,CRESCENT,Crescent University,Quantum Physics,Complaince,,4.0
Semester 2,1ec07200-92a5-4a11-a542-4eb95b951a04,Takshashila,Takshasila University,Web Application Development II,Web Application Development 2,7e0446da-981d-4faa-b02d-f4dc605dba66,4.0
Semester 2,1ec07200-92a5-4a11-a542-4eb95b951a04,Takshashila,Takshasila University,Introduction to DBMS,Database Management Systems,25c1a72c-216e-47e1-9bc6-b2f16c66e0ca,4.0
Semester 2,1ec07200-92a5-4a11-a542-4eb95b951a04,Takshashila,Takshasila University,Data Structures & Algorithms,Data Structures,e216af3e-bcd0-4dee-9c4f-67e7502ecba3,4.0
Semester 2,1ec07200-92a5-4a11-a542-4eb95b951a04,Takshashila,Takshasila University,Numerical Ability,Numerical Ability,3525d39d-b705-45a1-ac24-67291bf35bd6,3.0
Semester 2,1ec07200-92a5-4a11-a542-4eb95b951a04,Takshashila,Takshasila University,Communicative English Advanced,Communicative English Advanced,b21fe64c-21dc-4d6b-bd20-eceb953dd154,3.0
Semester 2,1ec07200-92a5-4a11-a542-4eb95b951a04,Takshashila,Takshasila University,Building LLM Applications,Building LLM Applications,a8f81e0c-22c3-41e6-b98a-ce7552d8e2c7,4.0
Semester 2,1ec07200-92a5-4a11-a542-4eb95b951a04,Takshashila,Takshasila University,Introduction to IKS,Complaince,,1.0
Semester 2,55d2a06b-c0cf-4920-b4ce-40850cab237f,AMET,AMET,Web Application Development 2,Web Application Development 2,7e0446da-981d-4faa-b02d-f4dc605dba66,4.0
Semester 2,55d2a06b-c0cf-4920-b4ce-40850cab237f,AMET,AMET,Database Management Systems,Database Management Systems,25c1a72c-216e-47e1-9bc6-b2f16c66e0ca,4.0
Semester 2,55d2a06b-c0cf-4920-b4ce-40850cab237f,AMET,AMET,Data Structures,Data Structures,e216af3e-bcd0-4dee-9c4f-67e7502ecba3,6.0
Semester 2,55d2a06b-c0cf-4920-b4ce-40850cab237f,AMET,AMET,Numerical Ability,Numerical Ability,3525d39d-b705-45a1-ac24-67291bf35bd6,2.0
Semester 2,55d2a06b-c0cf-4920-b4ce-40850cab237f,AMET,AMET,Communicative English Advanced,Communicative English Advanced,b21fe64c-21dc-4d6b-bd20-eceb953dd154,2.0
Semester 2,55d2a06b-c0cf-4920-b4ce-40850cab237f,AMET,AMET,Building LLM Applications,Building LLM Applications,a8f81e0c-22c3-41e6-b98a-ce7552d8e2c7,3.0
Semester 2,55d2a06b-c0cf-4920-b4ce-40850cab237f,AMET,AMET,Engineering Physics,Complaince,,1.0
Semester 2,55d2a06b-c0cf-4920-b4ce-40850cab237f,AMET,AMET,Engineering Chemistry,Complaince,,1.0
Semester 2,55d2a06b-c0cf-4920-b4ce-40850cab237f,AMET,AMET,Environmental Sciences,Complaince,,0.0
Semester 2,55d2a06b-c0cf-4920-b4ce-40850cab237f,AMET,AMET,Base 44 Workshop ( VAC I ),Workshop,,0.0
Semester 2,4497920d-7f75-4a6c-a913-c8c1c234d5d3,AURORA,Aurora University,Frontend Development Advanced,Web Application Development 2,40ab5ebd-3def-4faf-adca-3d39d921df1c,4.0
Semester 2,4497920d-7f75-4a6c-a913-c8c1c234d5d3,AURORA,Aurora University,Introduction to Database Management Systems,Database Management Systems,25c1a72c-216e-47e1-9bc6-b2f16c66e0ca,4.0
Semester 2,4497920d-7f75-4a6c-a913-c8c1c234d5d3,AURORA,Aurora University,Engineering Practice,Complaince,,4.0
Semester 2,4497920d-7f75-4a6c-a913-c8c1c234d5d3,AURORA,Aurora University,Environmental Science,Complaince,,1.0
Semester 2,4497920d-7f75-4a6c-a913-c8c1c234d5d3,AURORA,Aurora University,Indian Knowledge System,Complaince,,1.0
Semester 2,4497920d-7f75-4a6c-a913-c8c1c234d5d3,AURORA,Aurora University,Indian Heritage and Culture,Complaince,,0.0
